,0,1
0,Q0045,0
1,Q0050,0
2,Q0055,0
3,Q0070,0
4,Q0075,0
5,Q0085,0
6,Q0110,0
7,Q0140,0
8,Q0160,0
9,Q0250,0
10,YAL001C,0
11,YAL007C,0
12,YAL008W,0
13,YAL010C,0
14,YAL011W,0
15,YAL012W,1
16,YAL013W,0
17,YAL015C,0
18,YAL016W,0
19,YAL017W,0
20,YAL018C,0
21,YAL019W,0
22,YAL020C,0
23,YAL021C,0
24,YAL022C,0
25,YAL023C,0
26,YAL024C,0
27,YAL026C,0
28,YAL027W,0
29,YAL028W,0
30,YAL029C,0
31,YAL031C,0
32,YAL032C,1
33,YAL033W,1
34,YAL034C,0
35,YAL034W-A,1
36,YAL036C,0
37,YAL039C,0
38,YAL041W,1
39,YAL042W,0
40,YAL043C,1
41,YAL044C,0
42,YAL044W-A,0
43,YAL046C,0
44,YAL047C,0
45,YAL048C,0
46,YAL051W,0
47,YAL053W,0
48,YAL054C,0
49,YAL056C-A,0
50,YAL059W,0
51,YAL060W,0
52,YAL061W,0
53,YAL062W,0
54,YAL063C,0
55,YAL067C,0
56,YAR002C-A,0
57,YAR002W,0
58,YAR003W,0
59,YAR007C,1
60,YAR010C,0
61,YAR014C,0
62,YAR015W,0
63,YAR019C,1
64,YAR035W,0
65,YAR042W,0
66,YAR044W,0
67,YAR053W,0
68,YAR060C,0
69,YAR062W,0
70,YAR070C,0
71,YAR071W,0
72,YAR073W,0
73,YAR075W,0
74,YBL002W,0
75,YBL003C,1
76,YBL004W,1
77,YBL005W,0
78,YBL005W-A,0
79,YBL006C,0
80,YBL007C,0
81,YBL008W,0
82,YBL009W,0
83,YBL010C,0
84,YBL013W,0
85,YBL014C,1
86,YBL015W,0
87,YBL016W,0
88,YBL017C,0
89,YBL019W,0
90,YBL020W,1
91,YBL021C,0
92,YBL022C,0
93,YBL023C,1
94,YBL024W,0
95,YBL026W,1
96,YBL030C,1
97,YBL032W,0
98,YBL034C,1
99,YBL035C,1
100,YBL036C,0
101,YBL037W,0
102,YBL038W,0
103,YBL039C,0
104,YBL041W,1
105,YBL043W,0
106,YBL044W,0
107,YBL045C,0
108,YBL046W,0
109,YBL047C,0
110,YBL048W,0
111,YBL052C,0
112,YBL053W,0
113,YBL054W,0
114,YBL055C,0
115,YBL056W,0
116,YBL057C,0
117,YBL058W,0
118,YBL059W,0
119,YBL060W,0
120,YBL061C,0
121,YBL062W,0
122,YBL063W,0
123,YBL066C,0
124,YBL067C,0
125,YBL071C,0
126,YBL071W-A,0
127,YBL074C,1
128,YBL075C,0
129,YBL076C,1
130,YBL077W,1
131,YBL078C,0
132,YBL079W,0
133,YBL081W,0
134,YBL082C,0
135,YBL084C,1
